s0,s10,s90,s90d,red_flag
97,83,87,15,0
106,67,105,16,0
114,89,109,15,0
40,35,12,0,0
36,28,7,0,0
41,30,7,0,0
42,31,11,3,0
117,81,96,14,0
112,81,76,18,0
36,37,12,0,0
51,33,12,0,0
96,69,77,17,0
96,56,20,4,0
37,35,7,2,0
100,82,127,14,0
63,30,11,3,0
79,48,19,2,0
29,15,10,0,0
107,91,83,12,0
102,66,71,2,0
98,72,74,6,0
45,29,15,0,0
93,91,90,12,0
31,32,5,0,0
104,82,74,8,0
49,30,12,0,0
50,31,9,0,0
110,83,105,3,0
98,78,83,6,0
106,81,81,12,0
99,73,92,16,0
120,78,123,15,0
62,53,14,3,0
93,78,97,20,0
41,39,6,7,0
105,65,69,4,0
66,83,105,87,1
46,34,11,0,0
102,46,33,3,0
101,75,69,3,0
90,77,75,7,0
70,56,24,3,0
98,66,87,13,0
103,74,79,16,0
118,93,89,17,0
110,83,59,16,0
106,93,123,16,0
27,20,5,0,0
41,27,8,2,0
43,35,12,2,0
50,32,12,0,0
105,83,132,19,0
44,28,13,2,0
81,53,20,0,0
49,36,15,0,0
124,83,123,7,0
87,65,72,37,1
48,28,15,0,0
41,35,5,0,0
48,42,20,3,0
121,79,133,21,0
51,41,15,2,0
44,39,17,6,0
45,31,13,0,0
49,25,8,4,0
48,45,15,2,0
39,35,17,3,0
45,23,14,0,0
37,25,13,0,0
104,84,89,9,0
95,67,73,11,0
41,32,9,0,0
113,101,151,21,0
102,80,103,6,0
40,35,8,0,0
47,42,18,0,0
39,30,13,2,0
36,31,12,6,0
86,85,143,11,0
108,71,70,10,0
100,87,86,13,0
116,88,113,12,0
48,33,10,0,0
53,38,11,0,0
105,52,28,0,0
95,78,76,15,0
118,92,144,14,0
104,64,99,9,0
60,35,14,0,0
42,30,8,0,0
111,90,165,14,0
45,34,7,1,0
40,32,21,1,0
89,67,53,4,0
44,31,8,3,0
55,39,13,3,0
43,39,2,0,0
36,32,12,0,0
41,29,10,3,0
42,26,16,0,0
39,31,15,1,0
102,73,98,14,0
36,32,4,4,0
33,31,4,0,0
40,25,15,2,0
99,75,98,11,0
101,49,26,0,0
57,46,13,0,0
41,31,5,4,0
103,80,86,9,0
48,28,14,2,0
113,72,136,27,0
48,28,10,0,0
41,35,15,0,0
112,82,94,12,0
89,71,74,12,0
85,88,84,6,0
43,30,15,0,0
110,71,122,23,0
46,35,10,2,0
42,37,12,3,0
96,80,90,8,0
66,40,15,1,0
103,72,44,0,0
105,76,92,14,0
104,64,89,11,0
94,79,72,15,0
114,84,99,9,0
60,33,26,0,0
108,84,129,15,0
108,74,96,14,0
105,79,118,18,0
100,68,112,15,0
33,27,8,0,0
29,27,2,4,0
49,32,12,7,0
102,84,117,27,0
32,33,12,0,0
99,58,52,9,0
43,42,16,2,0
96,103,120,15,0
47,37,10,0,0
108,67,96,13,0
11,18,17,0,0
104,71,65,0,0
59,38,14,1,0
98,68,72,14,0
103,77,103,1,0
51,39,12,0,0
47,34,10,4,0
101,58,68,9,0
97,76,83,8,0
98,77,57,4,0
115,81,172,30,0
95,81,93,8,0
101,77,85,5,0
45,29,10,4,0
103,75,100,7,0
72,35,20,1,0
103,80,106,15,0
17,8,23,1,0
44,24,13,0,0
94,50,29,0,0
96,72,78,10,0
102,74,95,16,0
78,44,19,0,0
95,76,73,11,0
36,26,11,2,0
94,75,81,12,0
112,79,155,24,0
41,29,14,0,0
122,66,126,20,0
100,71,89,7,0
103,68,30,0,0
98,82,86,14,0
41,33,7,0,0
102,90,121,9,0
39,28,11,3,0
42,32,13,3,0
40,35,21,1,0
37,30,6,3,0
35,23,7,4,0
106,83,89,10,0
102,71,71,5,0
55,37,8,4,0
100,93,95,20,0
125,143,249,248,1
100,88,67,10,0
101,77,79,16,0
100,70,83,16,0
102,77,72,10,0
39,27,8,3,0
109,89,120,13,0
101,73,105,13,0
101,68,90,14,0
107,70,71,4,0
45,29,5,0,0
13,19,18,0,0
39,36,17,3,0
101,76,88,23,0
91,76,62,11,0
94,32,29,0,0
37,32,12,0,0
110,79,75,9,0
38,31,14,3,0
40,31,8,0,0
45,35,9,4,0
96,68,74,14,0
91,78,83,15,0
110,66,84,12,0
114,43,135,24,0
32,28,11,0,0
44,31,7,0,0
106,85,108,7,0
118,92,139,23,0
107,69,93,24,0
73,62,54,11,0
81,40,24,4,0
101,84,83,12,0
49,31,18,5,0
116,83,130,11,0
33,39,17,4,0
107,113,134,32,0
98,78,64,7,0
36,24,12,5,0
43,35,7,2,0
64,34,11,0,0
36,26,16,0,0
107,76,104,7,0
37,29,12,5,0
53,35,17,0,0
41,36,13,4,0
96,75,76,13,0
112,72,72,9,0
109,82,115,22,0
95,43,27,0,0
40,29,10,5,0
102,82,155,29,0
107,54,29,1,0
83,29,16,5,0
103,72,61,10,0
33,18,9,0,0
113,87,142,20,0
110,81,90,21,0
114,83,107,20,0
41,30,7,0,0
44,30,11,3,0
